"Date of data","Commodity code","Commodity","Quantity","Unit","Supplementary Quantity","Supplementary Unit","US dollar",
"201901","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","92","Number of item","304609","Kilogram","75,036,823",
"201901","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","76","Number of item","488780","Kilogram","127,530,714",
"201901","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","111","Number of item","542076","Kilogram","51,604,580",
"201901","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","5","Number of item","16427","Kilogram","5,560,420",
"201901","84862031","Step and repeat alignersw","17","Number of item","69017","Kilogram","5,594,525",
"201901","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","30","Number of item","158019","Kilogram","82,447,010",
"201901","84862041","Dry plasma etching for the manufacture of semiconductor or IC","115","Number of item","449433","Kilogram","151,846,570",
"201901","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","47","Number of item","114872","Kilogram","17,494,932",
"201901","84862050","Ion implanters","11","Number of item","202129","Kilogram","33,005,990",
"201901","84862090","Other apparatus for the manufacture of semiconductor devices","371","Number of item","612546","Kilogram","124,847,760",
"201902","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","45","Number of item","125583","Kilogram","22,575,036",
"201902","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","46","Number of item","314203","Kilogram","74,860,996",
"201902","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","39","Number of item","97220","Kilogram","8,088,018",
"201902","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","4","Number of item","7611","Kilogram","3,100,828",
"201902","84862031","Step and repeat alignersw","6","Number of item","40789","Kilogram","18,203,329",
"201902","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","25","Number of item","104477","Kilogram","59,948,269",
"201902","84862041","Dry plasma etching for the manufacture of semiconductor or IC","40","Number of item","160435","Kilogram","88,300,920",
"201902","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","30","Number of item","128306","Kilogram","23,800,213",
"201902","84862050","Ion implanters","7","Number of item","99183","Kilogram","12,717,657",
"201902","84862090","Other apparatus for the manufacture of semiconductor devices","245","Number of item","627610","Kilogram","128,464,134",
"201903","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","57","Number of item","234336","Kilogram","43,552,046",
"201903","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","85","Number of item","573911","Kilogram","112,123,876",
"201903","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","50","Number of item","173982","Kilogram","46,447,559",
"201903","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","14","Number of item","89130","Kilogram","15,581,050",
"201903","84862031","Step and repeat alignersw","16","Number of item","138815","Kilogram","150,652,718",
"201903","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","39","Number of item","171347","Kilogram","37,718,194",
"201903","84862041","Dry plasma etching for the manufacture of semiconductor or IC","61","Number of item","335228","Kilogram","100,030,195",
"201903","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","59","Number of item","281329","Kilogram","40,258,099",
"201903","84862050","Ion implanters","9","Number of item","192803","Kilogram","26,996,685",
"201903","84862090","Other apparatus for the manufacture of semiconductor devices","357","Number of item","591767","Kilogram","145,445,380",
"201904","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","119","Number of item","609766","Kilogram","98,322,043",
"201904","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","83","Number of item","547627","Kilogram","133,695,885",
"201904","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","73","Number of item","308505","Kilogram","95,967,294",
"201904","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","18","Number of item","171587","Kilogram","27,668,349",
"201904","84862031","Step and repeat alignersw","7","Number of item","81566","Kilogram","193,630,574",
"201904","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","38","Number of item","106817","Kilogram","30,030,641",
"201904","84862041","Dry plasma etching for the manufacture of semiconductor or IC","86","Number of item","375334","Kilogram","170,305,102",
"201904","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","69","Number of item","260769","Kilogram","28,628,597",
"201904","84862050","Ion implanters","17","Number of item","353116","Kilogram","40,845,789",
"201904","84862090","Other apparatus for the manufacture of semiconductor devices","558","Number of item","861401","Kilogram","151,795,875",
"201905","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","95","Number of item","402021","Kilogram","77,141,391",
"201905","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","98","Number of item","772727","Kilogram","194,823,708",
"201905","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","61","Number of item","181095","Kilogram","44,298,038",
"201905","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","10","Number of item","111709","Kilogram","18,573,594",
"201905","84862031","Step and repeat alignersw","9","Number of item","133300","Kilogram","94,732,083",
"201905","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","31","Number of item","108510","Kilogram","34,679,425",
"201905","84862041","Dry plasma etching for the manufacture of semiconductor or IC","78","Number of item","268853","Kilogram","129,218,835",
"201905","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","57","Number of item","166179","Kilogram","26,491,240",
"201905","84862050","Ion implanters","10","Number of item","176668","Kilogram","18,966,381",
"201905","84862090","Other apparatus for the manufacture of semiconductor devices","264","Number of item","654448","Kilogram","127,389,716",
"201906","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","141","Number of item","749535","Kilogram","92,292,020",
"201906","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","107","Number of item","575196","Kilogram","177,013,839",
"201906","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","51","Number of item","219676","Kilogram","44,148,642",
"201906","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","11","Number of item","70959","Kilogram","13,700,335",
"201906","84862031","Step and repeat alignersw","25","Number of item","120003","Kilogram","20,507,409",
"201906","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","23","Number of item","168391","Kilogram","76,801,214",
