Ranking,Country,2016 Index,2015 Index
1,China,7.91,8.09
2,UAE,7.00,6.63
3,India,6.76,6.66
4,Malaysia,6.66,6.36
5,Saudi Arabia,6.62,6.76
6,Brazil,6.40,6.71
7,Indonesia,6.36,6.70
8,Mexico,6.17,6.30
9,Russia,6.16,6.57
10,Turkey,5.95,6.06
11,Chile,5.94,5.93
12,Qatar,5.83,5.87
13,Thailand,5.63,5.58
14,Oman,5.48,5.70
15,Philippines,5.34,5.15
16,South Africa,5.30,5.46
17,Nigeria,5.28,4.56
18,Kazakhstan,5.28,5.08
19,Vietnam,5.10,4.95
20,Morocco,5.05,5.11
21,Kuwait,5.02,4.91
22,Egypt,4.99,4.38
23,Pakistan,4.99,4.77
24,Uruguay,4.93,4.92
25,Colombia,4.91,4.86
26,Bahrain,4.90,4.78
27,Bangladesh,4.73,4.56
28,Peru,4.70,4.84
29,Sri Lanka,4.55,4.43
30,Algeria,4.46,4.10
31,Argentina,4.42,4.67
32,Ecuador,4.29,4.14
33,Jordan,4.28,4.54
34,Ukraine,4.09,4.46
35,Paraguay,3.71,3.74
36,Tunisia,3.69,3.87
37,Ethiopia,3.62,3.76
38,Bolivia,3.61,3.58
39,Venezuela,3.60,3.81
40,Tanzania,3.57,3.60
41,Libya,3.52,3.58
42,Lebanon,3.43,3.56
43,Kenya,3.38,3.47
44,Cambodia,3.36,3.46
45,Uganda,3.33,3.31
